GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RobotProject,com.softwareTesting.RobotProject,Robot,80,732,29,99,32,165,34,76,6,28
RobotProject,com.softwareTesting.RobotProject,Main,47,0,2,0,15,0,3,0,2,0
